Rk,Wk,Date,Time,Day,Winner,Winner_Pts,,Loser,Loser_Pts,Notes
299,5,Sep 23 2023,12:00 PM,Sat,(16) Oklahoma,20,@,Cincinnati,6,
300,5,Sep 23 2023,3:30 PM,Sat,Old Dominion,10,,Texas A&M-Commerce,9,
301,5,Sep 23 2023,3:30 PM,Sat,(10) Oregon,42,,(19) Colorado,6,
302,5,Sep 23 2023,7:30 PM,Sat,(7) Penn State,31,,(24) Iowa,0,
303,5,Sep 23 2023,7:30 PM,Sat,South Carolina,37,,Mississippi State,30,
304,5,Sep 23 2023,4:00 PM,Sat,South Florida,42,,Rice,29,
305,5,Sep 23 2023,10:30 PM,Sat,(5) Southern California,42,@,Arizona State,28,
306,5,Sep 23 2023,12:00 PM,Sat,Syracuse,29,,Army,16,
307,5,Sep 23 2023,4:00 PM,Sat,(23) Tennessee,45,,Texas-San Antonio,14,
308,5,Sep 23 2023,7:30 PM,Sat,(3) Texas,38,@,Baylor,6,
309,5,Sep 23 2023,12:00 PM,Sat,Texas A&M,27,,Auburn,10,
310,5,Sep 23 2023,12:00 PM,Sat,Texas Christian,34,,Southern Methodist,17,
311,5,Sep 23 2023,7:00 PM,Sat,Texas State,35,,Nevada,24,
312,5,Sep 23 2023,1:30 PM,Sat,Toledo,49,,Western Michigan,31,
313,5,Sep 23 2023,12:00 PM,Sat,Troy,27,,Western Kentucky,24,
314,5,Sep 23 2023,7:00 PM,Sat,Tulane,36,,Nicholls State,7,
315,5,Sep 23 2023,12:00 PM,Sat,Tulsa,22,@,Northern Illinois,14,
316,5,Sep 23 2023,3:30 PM,Sat,(11) Utah,14,,(22) UCLA,7,
317,5,Sep 23 2023,11:30 PM,Sat,(8) Washington,59,,California,32,
318,5,Sep 23 2023,7:00 PM,Sat,(21) Washington State,38,,(14) Oregon State,35,
319,5,Sep 23 2023,3:30 PM,Sat,West Virginia,20,,Texas Tech,13,
320,5,Sep 23 2023,7:00 PM,Sat,Wyoming,22,,Appalachian State,19,
321,5,Sep 24 2023,12:00 AM,Sun,Hawaii,20,,New Mexico State,17,
322,6,Sep 28 2023,8:00 PM,Thu,Jacksonville State,35,@,Sam Houston,28,
323,6,Sep 28 2023,7:30 PM,Thu,Tulsa,48,,Temple,26,
324,6,Sep 28 2023,7:30 PM,Thu,Western Kentucky,31,,Middle Tennessee State,10,
325,6,Sep 29 2023,10:15 PM,Fri,Brigham Young,35,,Cincinnati,27,
326,6,Sep 29 2023,9:00 PM,Fri,Louisiana Tech,24,@,Texas-El Paso,10,
327,6,Sep 29 2023,7:00 PM,Fri,Louisville,13,@,North Carolina State,10,
328,6,Sep 29 2023,9:00 PM,Fri,(19) Oregon State,21,,(10) Utah,7,
329,6,Sep 30 2023,8:00 PM,Sat,Air Force,49,,San Diego State,10,
330,6,Sep 30 2023,9:00 PM,Sat,(12) Alabama,40,@,Mississippi State,17,
331,6,Sep 30 2023,8:00 PM,Sat,Appalachian State,41,@,Louisiana-Monroe,40,
332,6,Sep 30 2023,3:30 PM,Sat,Arkansas State,52,@,Massachusetts,28,
333,6,Sep 30 2023,3:30 PM,Sat,Baylor,36,@,Central Florida,35,
334,6,Sep 30 2023,2:00 PM,Sat,Boston College,27,,Virginia,24,
335,6,Sep 30 2023,3:30 PM,Sat,Bowling Green,38,@,Georgia Tech,27,
336,6,Sep 30 2023,12:00 PM,Sat,Buffalo,13,@,Akron,10,
337,6,Sep 30 2023,3:00 PM,Sat,California,24,,Arizona State,21,
338,6,Sep 30 2023,1:30 PM,Sat,Central Michigan,26,,Eastern Michigan,23,
339,6,Sep 30 2023,12:00 PM,Sat,Clemson,31,@,Syracuse,14,
340,6,Sep 30 2023,7:00 PM,Sat,Colorado State,41,,Utah Tech,20,
341,6,Sep 30 2023,10:30 PM,Sat,(25) Fresno State,27,,Nevada,9,
342,6,Sep 30 2023,3:30 PM,Sat,(1) Georgia,27,@,Auburn,20,
343,6,Sep 30 2023,7:00 PM,Sat,Georgia Southern,38,,Coastal Carolina,28,
344,6,Sep 30 2023,7:30 PM,Sat,Iowa,26,,Michigan State,16,
345,6,Sep 30 2023,12:00 PM,Sat,James Madison,31,,South Alabama,23,
346,6,Sep 30 2023,12:00 PM,Sat,Kentucky,33,,(22) Florida,14,
347,6,Sep 30 2023,3:30 PM,Sat,Marshall,41,,Old Dominion,35,
348,6,Sep 30 2023,3:30 PM,Sat,Maryland,44,,Indiana,17,
349,6,Sep 30 2023,4:00 PM,Sat,Memphis,35,,Boise State,32,
350,6,Sep 30 2023,2:30 PM,Sat,Miami (OH),23,@,Kent State,3,
351,6,Sep 30 2023,3:30 PM,Sat,(2) Michigan,45,@,Nebraska,7,
352,6,Sep 30 2023,12:00 PM,Sat,Minnesota,35,,Louisiana,24,
353,6,Sep 30 2023,6:00 PM,Sat,(20) Mississippi,55,,(13) Louisiana State,49,
354,6,Sep 30 2023,4:00 PM,Sat,(23) Missouri,38,@,Vanderbilt,21,
355,6,Sep 30 2023,4:00 PM,Sat,Nevada-Las Vegas,44,,Hawaii,20,
356,6,Sep 30 2023,7:00 PM,Sat,North Texas,45,,Abilene Christian,31,
357,6,Sep 30 2023,7:30 PM,Sat,(11) Notre Dame,21,@,(17) Duke,14,
358,6,Sep 30 2023,7:00 PM,Sat,(14) Oklahoma,50,,Iowa State,20,
359,6,Sep 30 2023,6:30 PM,Sat,(9) Oregon,42,@,Stanford,6,
360,6,Sep 30 2023,12:00 PM,Sat,(6) Penn State,41,@,Northwestern,13,
361,6,Sep 30 2023,3:30 PM,Sat,Purdue,44,,Illinois,19,
362,6,Sep 30 2023,7:00 PM,Sat,Rice,24,,East Carolina,17,
363,6,Sep 30 2023,3:30 PM,Sat,Rutgers,52,,Wagner,3,
364,6,Sep 30 2023,3:30 PM,Sat,South Florida,44,@,Navy,30,
365,6,Sep 30 2023,12:00 PM,Sat,(8) Southern California,48,@,Colorado,41,
366,6,Sep 30 2023,7:30 PM,Sat,Southern Methodist,34,,Charlotte,16,
367,6,Sep 30 2023,7:30 PM,Sat,(21) Tennessee,41,,South Carolina,20,
368,6,Sep 30 2023,3:30 PM,Sat,(3) Texas,40,,(24) Kansas,14,
369,6,Sep 30 2023,12:00 PM,Sat,Texas A&M,34,N,Arkansas,22,
370,6,Sep 30 2023,7:00 PM,Sat,Texas State,50,@,Southern Mississippi,36,
371,6,Sep 30 2023,3:00 PM,Sat,Texas Tech,49,,Houston,28,
372,6,Sep 30 2023,3:30 PM,Sat,Toledo,35,,Northern Illinois,33,
373,6,Sep 30 2023,7:00 PM,Sat,Troy,28,@,Georgia State,7,
374,6,Sep 30 2023,12:00 PM,Sat,Tulane,35,,Alabama-Birmingham,23,
375,6,Sep 30 2023,12:00 PM,Sat,Utah State,34,@,Connecticut,33,
376,6,Sep 30 2023,8:00 PM,Sat,Virginia Tech,38,,Pittsburgh,21,
377,6,Sep 30 2023,10:00 PM,Sat,(7) Washington,31,@,Arizona,24,
378,6,Sep 30 2023,8:00 PM,Sat,West Virginia,24,@,Texas Christian,21,
379,6,Sep 30 2023,3:30 PM,Sat,Western Michigan,42,,Ball State,24,
380,6,Sep 30 2023,4:00 PM,Sat,Wyoming,35,,New Mexico,26,
381,7,Oct 4 2023,8:00 PM,Wed,Jacksonville State,45,@,Middle Tennessee State,30,
382,7,Oct 4 2023,9:00 PM,Wed,New Mexico State,34,,Florida International,17,
383,7,Oct 5 2023,7:00 PM,Thu,Liberty,21,,Sam Houston,16,
384,7,Oct 5 2023,8:00 PM,Thu,Western Kentucky,35,@,Louisiana Tech,28,
385,7,Oct 6 2023,8:00 PM,Fri,Nebraska,20,@,Illinois,7,
386,7,Oct 6 2023,7:30 PM,Fri,Oklahoma State,29,,Kansas State,21,
387,7,Oct 7 2023,3:30 PM,Sat,(11) Alabama,26,@,Texas A&M,20,
388,7,Oct 7 2023,4:00 PM,Sat,Alabama-Birmingham,56,,South Florida,35,
389,7,Oct 7 2023,8:00 PM,Sat,Boise State,35,,San Jose State,27,
390,7,Oct 7 2023,12:00 PM,Sat,Boston College,27,@,Army,24,
391,7,Oct 7 2023,2:00 PM,Sat,Buffalo,37,,Central Michigan,13,
392,7,Oct 7 2023,3:30 PM,Sat,Clemson,17,,Wake Forest,12,
393,7,Oct 7 2023,6:30 PM,Sat,Colorado,27,@,Arizona State,24,
394,7,Oct 7 2023,5:00 PM,Sat,Connecticut,38,@,Rice,31,
395,7,Oct 7 2023,3:30 PM,Sat,Eastern Michigan,24,,Ball State,10,
396,7,Oct 7 2023,4:00 PM,Sat,Florida,38,,Vanderbilt,14,
397,7,Oct 7 2023,6:00 PM,Sat,Florida Atlantic,20,,Tulsa,17,
398,7,Oct 7 2023,3:30 PM,Sat,(5) Florida State,39,,Virginia Tech,17,
399,7,Oct 7 2023,7:00 PM,Sat,(1) Georgia,51,,(20) Kentucky,13,
400,7,Oct 7 2023,8:00 PM,Sat,Georgia Tech,23,@,(17) Miami (FL),20,
401,7,Oct 7 2023,3:30 PM,Sat,Iowa,20,,Purdue,14,
402,7,Oct 7 2023,8:00 PM,Sat,Iowa State,27,,Texas Christian,14,
403,7,Oct 7 2023,4:00 PM,Sat,Kansas,51,,Central Florida,22,
404,7,Oct 7 2023,3:30 PM,Sat,Louisiana,34,,Texas State,30,
405,7,Oct 7 2023,12:00 PM,Sat,(23) Louisiana State,49,@,(21) Missouri,39,
406,7,Oct 7 2023,7:30 PM,Sat,(25) Louisville,33,,(10) Notre Dame,20,
407,7,Oct 7 2023,3:30 PM,Sat,Miami (OH),27,,Bowling Green,0,
408,7,Oct 7 2023,7:30 PM,Sat,(2) Michigan,52,@,Minnesota,10,
409,7,Oct 7 2023,7:30 PM,Sat,(16) Mississippi,27,,Arkansas,20,
410,7,Oct 7 2023,12:00 PM,Sat,Mississippi State,41,,Western Michigan,28,
411,7,Oct 7 2023,3:30 PM,Sat,Navy,27,,North Texas,24,
412,7,Oct 7 2023,3:30 PM,Sat,(14) North Carolina,40,,Syracuse,7,
413,7,Oct 7 2023,2:00 PM,Sat,North Carolina State,48,,Marshall,41,
414,7,Oct 7 2023,3:30 PM,Sat,Northern Illinois,55,@,Akron,14,
415,7,Oct 7 2023,3:00 PM,Sat,Northwestern,23,,Howard,20,
416,7,Oct 7 2023,3:30 PM,Sat,Ohio,42,,Kent State,17,
417,7,Oct 7 2023,12:00 PM,Sat,(4) Ohio State,37,,Maryland,17,
418,7,Oct 7 2023,12:00 PM,Sat,(12) Oklahoma,34,N,(3) Texas,30,
419,7,Oct 7 2023,7:00 PM,Sat,Old Dominion,17,@,Southern Mississippi,13,
420,7,Oct 7 2023,10:00 PM,Sat,(15) Oregon State,52,@,California,40,
421,7,Oct 7 2023,7:00 PM,Sat,South Alabama,55,@,Louisiana-Monroe,7,
422,7,Oct 7 2023,10:30 PM,Sat,(9) Southern California,43,,Arizona,41,
423,7,Oct 7 2023,8:00 PM,Sat,Texas Tech,39,@,Baylor,14,
424,7,Oct 7 2023,2:00 PM,Sat,Texas-San Antonio,49,@,Temple,34,
425,7,Oct 7 2023,12:00 PM,Sat,Toledo,41,@,Massachusetts,24,
426,7,Oct 7 2023,4:00 PM,Sat,Troy,37,,Arkansas State,3,
427,7,Oct 7 2023,3:00 PM,Sat,UCLA,25,,(13) Washington State,17,
428,7,Oct 7 2023,8:00 PM,Sat,Utah State,44,,Colorado State,24,
429,7,Oct 7 2023,12:00 PM,Sat,Virginia,27,,William & Mary,13,
430,7,Oct 7 2023,12:00 PM,Sat,Wisconsin,24,,Rutgers,13,
431,7,Oct 7 2023,8:00 PM,Sat,Wyoming,24,,(24) Fresno State,19,
432,8,Oct 10 2023,7:30 PM,Tue,Coastal Carolina,27,@,Appalachian State,24,
433,8,Oct 10 2023,7:30 PM,Tue,Liberty,31,@,Jacksonville State,13,
434,8,Oct 10 2023,7:00 PM,Tue,Middle Tennessee State,31,,Louisiana Tech,23,
435,8,Oct 11 2023,9:00 PM,Wed,New Mexico State,27,,Sam Houston,13,
436,8,Oct 11 2023,7:30 PM,Wed,Texas-El Paso,27,@,Florida International,14,
437,8,Oct 12 2023,7:00 PM,Thu,Houston,41,,West Virginia,39,
438,8,Oct 12 2023,7:30 PM,Thu,Southern Methodist,31,@,East Carolina,10,
439,8,Oct 13 2023,8:00 PM,Fri,Fresno State,37,@,Utah State,32,
440,8,Oct 13 2023,10:00 PM,Fri,Stanford,46,@,Colorado,43,
441,8,Oct 13 2023,7:00 PM,Fri,Tulane,31,@,Memphis,21,
442,8,Oct 14 2023,7:00 PM,Sat,Air Force,34,,Wyoming,27,
443,8,Oct 14 2023,12:00 PM,Sat,(11) Alabama,24,,Arkansas,21,
444,8,Oct 14 2023,7:00 PM,Sat,Arizona,44,@,(19) Washington State,6,
445,8,Oct 14 2023,3:30 PM,Sat,Bowling Green,24,@,Buffalo,14,
446,8,Oct 14 2023,3:30 PM,Sat,Central Michigan,17,,Akron,10,
447,8,Oct 14 2023,9:45 PM,Sat,Colorado State,31,,Boise State,30,
448,8,Oct 14 2023,8:00 PM,Sat,(17) Duke,24,,North Carolina State,3,
449,8,Oct 14 2023,12:00 PM,Sat,Eastern Michigan,28,,Kent State,14,
450,8,Oct 14 2023,3:30 PM,Sat,Florida,41,@,South Carolina,39,
451,8,Oct 14 2023,3:30 PM,Sat,Florida Atlantic,56,@,South Florida,14,
452,8,Oct 14 2023,12:00 PM,Sat,(4) Florida State,41,,Syracuse,3,
453,8,Oct 14 2023,12:00 PM,Sat,(1) Georgia,37,@,Vanderbilt,20,
454,8,Oct 14 2023,7:00 PM,Sat,Georgia State,41,,Marshall,24,
455,8,Oct 14 2023,3:30 PM,Sat,Illinois,27,@,Maryland,24,
456,8,Oct 14 2023,4:00 PM,Sat,Iowa,15,@,Wisconsin,6,
457,8,Oct 14 2023,12:00 PM,Sat,Iowa State,30,@,Cincinnati,10,
458,8,Oct 14 2023,12:00 PM,Sat,James Madison,41,,Georgia Southern,13,
459,8,Oct 14 2023,7:00 PM,Sat,Kansas State,38,@,Texas Tech,21,
460,8,Oct 14 2023,7:00 PM,Sat,(22) Louisiana State,48,,Auburn,18,
461,8,Oct 14 2023,3:30 PM,Sat,Miami (OH),34,@,Western Michigan,21,
462,8,Oct 14 2023,12:00 PM,Sat,(2) Michigan,52,,Indiana,7,
463,8,Oct 14 2023,7:30 PM,Sat,Missouri,38,@,(24) Kentucky,21,
464,8,Oct 14 2023,2:00 PM,Sat,Navy,14,@,Charlotte,0,
465,8,Oct 14 2023,5:00 PM,Sat,Nevada-Las Vegas,45,@,Nevada,27,
466,8,Oct 14 2023,7:30 PM,Sat,(12) North Carolina,41,,(25) Miami (FL),31,
467,8,Oct 14 2023,12:00 PM,Sat,North Texas,45,,Temple,14,
468,8,Oct 14 2023,4:00 PM,Sat,Northern Illinois,23,,Ohio,13,
469,8,Oct 14 2023,7:30 PM,Sat,(21) Notre Dame,48,,(10) Southern California,20,
470,8,Oct 14 2023,12:00 PM,Sat,(3) Ohio State,41,@,Purdue,7,
471,8,Oct 14 2023,3:30 PM,Sat,Oklahoma State,39,,(23) Kansas,32,
472,8,Oct 14 2023,8:00 PM,Sat,(15) Oregon State,36,,(18) UCLA,24,
473,8,Oct 14 2023,3:30 PM,Sat,(6) Penn State,63,,Massachusetts,0,
474,8,Oct 14 2023,6:30 PM,Sat,Pittsburgh,38,,(14) Louisville,21,
475,8,Oct 14 2023,12:00 PM,Sat,Rutgers,27,,Michigan State,24,
476,8,Oct 14 2023,11:00 PM,Sat,San Diego State,41,@,Hawaii,34,
477,8,Oct 14 2023,6:00 PM,Sat,San Jose State,52,@,New Mexico,24,
478,8,Oct 14 2023,3:30 PM,Sat,(19) Tennessee,20,,Texas A&M,13,
479,8,Oct 14 2023,3:30 PM,Sat,Texas Christian,44,,Brigham Young,11,
480,8,Oct 14 2023,7:00 PM,Sat,Texas State,21,,Louisiana-Monroe,20,
481,8,Oct 14 2023,8:00 PM,Sat,Texas-San Antonio,41,,Alabama-Birmingham,20,
482,8,Oct 14 2023,2:00 PM,Sat,Toledo,13,@,Ball State,6,
483,8,Oct 14 2023,3:30 PM,Sat,Troy,19,@,Army,0,
484,8,Oct 14 2023,3:00 PM,Sat,(16) Utah,34,,California,14,
485,8,Oct 14 2023,3:30 PM,Sat,Virginia Tech,30,,Wake Forest,13,
486,8,Oct 14 2023,3:30 PM,Sat,(7) Washington,36,,(8) Oregon,33,
487,9,Oct 17 2023,7:30 PM,Tue,Jacksonville State,20,,Western Kentucky,17,
488,9,Oct 17 2023,7:00 PM,Tue,Liberty,42,,Middle Tennessee State,35,
489,9,Oct 17 2023,7:30 PM,Tue,South Alabama,55,,Southern Mississippi,3,
490,9,Oct 18 2023,7:00 PM,Wed,Florida International,33,@,Sam Houston,27,
491,9,Oct 18 2023,9:00 PM,Wed,New Mexico State,28,@,Texas-El Paso,7,
492,9,Oct 19 2023,7:00 PM,Thu,James Madison,20,@,Marshall,9,
493,9,Oct 19 2023,7:00 PM,Thu,Rice,42,@,Tulsa,10,
494,9,Oct 20 2023,7:00 PM,Fri,Southern Methodist,55,@,Temple,0,
495,9,Oct 21 2023,12:00 PM,Sat,(22) Air Force,17,@,Navy,6,
496,9,Oct 21 2023,3:30 PM,Sat,(11) Alabama,34,,(17) Tennessee,20,
497,9,Oct 21 2023,3:30 PM,Sat,Ball State,24,,Central Michigan,17,
498,9,Oct 21 2023,12:00 PM,Sat,Baylor,32,@,Cincinnati,29,
499,9,Oct 21 2023,12:00 PM,Sat,Boston College,38,@,Georgia Tech,23,
500,9,Oct 21 2023,2:00 PM,Sat,Bowling Green,41,,Akron,14,
501,9,Oct 21 2023,7:00 PM,Sat,Brigham Young,27,,Texas Tech,14,
502,9,Oct 21 2023,3:30 PM,Sat,Buffalo,24,@,Kent State,6,
503,9,Oct 21 2023,2:00 PM,Sat,Charlotte,10,@,East Carolina,7,
504,9,Oct 21 2023,7:00 PM,Sat,Coastal Carolina,27,@,Arkansas State,17,
505,9,Oct 21 2023,7:30 PM,Sat,(4) Florida State,38,,(16) Duke,20,
506,9,Oct 21 2023,2:00 PM,Sat,Georgia Southern,38,,Louisiana-Monroe,28,
507,9,Oct 21 2023,8:00 PM,Sat,Georgia State,20,@,Louisiana,17,
508,9,Oct 21 2023,7:00 PM,Sat,Kansas State,41,,Texas Christian,3,
509,9,Oct 21 2023,7:30 PM,Sat,(19) Louisiana State,62,,Army,0,
510,9,Oct 21 2023,7:00 PM,Sat,Memphis,45,@,Alabama-Birmingham,21,
511,9,Oct 21 2023,8:00 PM,Sat,Miami (FL),28,,Clemson,20,
512,9,Oct 21 2023,7:30 PM,Sat,(2) Michigan,49,@,Michigan State,0,
513,9,Oct 21 2023,3:33 PM,Sat,Minnesota,12,@,(24) Iowa,10,
514,9,Oct 21 2023,7:00 PM,Sat,(13) Mississippi,28,@,Auburn,21,
515,9,Oct 21 2023,12:00 PM,Sat,Mississippi State,7,@,Arkansas,3,
516,9,Oct 21 2023,3:30 PM,Sat,(20) Missouri,34,,South Carolina,12,
517,9,Oct 21 2023,3:30 PM,Sat,Nebraska,17,,Northwestern,9,
518,9,Oct 21 2023,9:00 PM,Sat,Nevada,6,@,San Diego State,0,
519,9,Oct 21 2023,7:00 PM,Sat,Nevada-Las Vegas,25,,Colorado State,23,
520,9,Oct 21 2023,6:00 PM,Sat,New Mexico,42,,Hawaii,21,
521,9,Oct 21 2023,3:30 PM,Sat,Northern Illinois,20,,Eastern Michigan,13,
522,9,Oct 21 2023,12:00 PM,Sat,Ohio,20,,Western Michigan,17,
523,9,Oct 21 2023,12:00 PM,Sat,(3) Ohio State,20,,(7) Penn State,12,
524,9,Oct 21 2023,12:00 PM,Sat,(6) Oklahoma,31,,Central Florida,29,
525,9,Oct 21 2023,3:30 PM,Sat,Oklahoma State,48,@,West Virginia,34,
526,9,Oct 21 2023,7:00 PM,Sat,Old Dominion,28,,Appalachian State,21,
527,9,Oct 21 2023,3:30 PM,Sat,(9) Oregon,38,,Washington State,24,
528,9,Oct 21 2023,12:00 PM,Sat,Rutgers,31,@,Indiana,14,
529,9,Oct 21 2023,7:00 PM,Sat,San Jose State,42,,Utah State,21,
530,9,Oct 21 2023,3:30 PM,Sat,South Florida,24,@,Connecticut,21,
531,9,Oct 21 2023,4:00 PM,Sat,(8) Texas,31,@,Houston,24,
532,9,Oct 21 2023,6:00 PM,Sat,Texas-San Antonio,36,@,Florida Atlantic,10,
533,9,Oct 21 2023,4:00 PM,Sat,Toledo,21,@,Miami (OH),17,
534,9,Oct 21 2023,3:30 PM,Sat,(23) Tulane,35,,North Texas,28,
535,9,Oct 21 2023,10:30 PM,Sat,(25) UCLA,42,@,Stanford,7,
536,9,Oct 21 2023,8:00 PM,Sat,(14) Utah,34,@,(18) Southern California,32,
537,9,Oct 21 2023,6:30 PM,Sat,Virginia,31,@,(10) North Carolina,27,
538,9,Oct 21 2023,3:30 PM,Sat,Wake Forest,21,,Pittsburgh,17,
539,9,Oct 21 2023,10:30 PM,Sat,(5) Washington,15,,Arizona State,7,
540,9,Oct 21 2023,3:30 PM,Sat,Wisconsin,25,@,Illinois,21,
541,10,Oct 24 2023,7:30 PM,Tue,Liberty,42,@,Western Kentucky,29,
542,10,Oct 24 2023,7:00 PM,Tue,New Mexico State,27,@,Louisiana Tech,24,
543,10,Oct 25 2023,7:00 PM,Wed,Jacksonville State,41,@,Florida International,16,
544,10,Oct 25 2023,8:00 PM,Wed,Texas-El Paso,37,@,Sam Houston,34,
545,10,Oct 26 2023,7:30 PM,Thu,Georgia Southern,44,,Georgia State,27,
546,10,Oct 26 2023,7:30 PM,Thu,Virginia Tech,38,,Syracuse,10,
547,10,Oct 27 2023,7:30 PM,Fri,Florida Atlantic,38,@,Charlotte,16,
548,10,Oct 28 2023,7:00 PM,Sat,(19) Air Force,30,@,Colorado State,13,
549,10,Oct 28 2023,3:30 PM,Sat,Appalachian State,48,,Southern Mississippi,38,
550,10,Oct 28 2023,10:30 PM,Sat,Arizona,27,,(11) Oregon State,24,
551,10,Oct 28 2023,8:00 PM,Sat,Arizona State,38,,Washington State,27,
552,10,Oct 28 2023,5:00 PM,Sat,Arkansas State,34,@,Louisiana-Monroe,24,
553,10,Oct 28 2023,3:30 PM,Sat,Auburn,27,,Mississippi State,13,
554,10,Oct 28 2023,5:30 PM,Sat,Boise State,32,,Wyoming,7,
555,10,Oct 28 2023,12:00 PM,Sat,Boston College,21,,Connecticut,14,
556,10,Oct 28 2023,6:00 PM,Sat,Coastal Carolina,34,,Marshall,6,
557,10,Oct 28 2023,12:00 PM,Sat,(4) Florida State,41,@,Wake Forest,16,
558,10,Oct 28 2023,10:30 PM,Sat,Fresno State,31,,Nevada-Las Vegas,24,
559,10,Oct 28 2023,3:30 PM,Sat,(1) Georgia,43,N,Florida,20,
560,10,Oct 28 2023,8:00 PM,Sat,Georgia Tech,46,,(17) North Carolina,42,
561,10,Oct 28 2023,3:30 PM,Sat,Iowa State,30,@,Baylor,18,
562,10,Oct 28 2023,8:00 PM,Sat,(25) James Madison,30,,Old Dominion,27,
563,10,Oct 28 2023,12:00 PM,Sat,Kansas,38,,(6) Oklahoma,33,
564,10,Oct 28 2023,12:00 PM,Sat,Kansas State,41,,Houston,0,
565,10,Oct 28 2023,5:00 PM,Sat,Louisiana,33,@,South Alabama,20,
566,10,Oct 28 2023,3:30 PM,Sat,(18) Louisville,23,,(20) Duke,0,
567,10,Oct 28 2023,12:00 PM,Sat,Massachusetts,21,@,Army,14,
568,10,Oct 28 2023,3:00 PM,Sat,Memphis,45,@,North Texas,42,
569,10,Oct 28 2023,3:30 PM,Sat,Miami (FL),29,,Virginia,26,
570,10,Oct 28 2023,3:30 PM,Sat,Miami (OH),30,@,Ohio,16,
571,10,Oct 28 2023,3:30 PM,Sat,Minnesota,27,,Michigan State,12,
572,10,Oct 28 2023,7:30 PM,Sat,(12) Mississippi,33,,Vanderbilt,7,
573,10,Oct 28 2023,3:30 PM,Sat,Nebraska,31,,Purdue,14,
574,10,Oct 28 2023,10:30 PM,Sat,Nevada,34,,New Mexico,24,
575,10,Oct 28 2023,2:00 PM,Sat,North Carolina State,24,,Clemson,17,
576,10,Oct 28 2023,12:00 PM,Sat,Northwestern,33,,Maryland,27,
577,10,Oct 28 2023,3:30 PM,Sat,(14) Notre Dame,58,,Pittsburgh,7,
578,10,Oct 28 2023,7:30 PM,Sat,(3) Ohio State,24,@,Wisconsin,10,
579,10,Oct 28 2023,8:00 PM,Sat,Oklahoma State,45,,Cincinnati,13,
580,10,Oct 28 2023,3:30 PM,Sat,(8) Oregon,35,@,(13) Utah,6,
581,10,Oct 28 2023,12:00 PM,Sat,(10) Penn State,33,,Indiana,24,
582,10,Oct 28 2023,4:00 PM,Sat,(24) Southern California,50,@,California,49,
583,10,Oct 28 2023,12:00 PM,Sat,Southern Methodist,69,,Tulsa,10,
584,10,Oct 28 2023,7:00 PM,Sat,(21) Tennessee,33,@,Kentucky,27,
585,10,Oct 28 2023,3:30 PM,Sat,(7) Texas,35,,Brigham Young,6,
586,10,Oct 28 2023,12:00 PM,Sat,Texas A&M,30,,South Carolina,17,
587,10,Oct 28 2023,3:30 PM,Sat,Texas-San Antonio,41,,East Carolina,27,
588,10,Oct 28 2023,7:00 PM,Sat,Troy,31,@,Texas State,13,
589,10,Oct 28 2023,4:00 PM,Sat,(22) Tulane,30,@,Rice,28,
590,10,Oct 28 2023,7:30 PM,Sat,(23) UCLA,28,,Colorado,16,
591,10,Oct 28 2023,7:00 PM,Sat,(5) Washington,42,@,Stanford,33,
592,10,Oct 28 2023,12:00 PM,Sat,West Virginia,41,@,Central Florida,28,
593,10,Oct 28 2023,1:00 PM,Sat,Western Michigan,45,@,Eastern Michigan,21,
594,10,Oct 29 2023,12:00 AM,Sun,San Jose State,35,@,Hawaii,0,